time,volume,x,y,z,u_x,u_y,u_z,omega_x,omega_y,omega_z,area
0.34586911,0.52223818,-5.235e-05,3.61493892,-2.603e-05,-0.00014165,0.64100932,-0.0001467,-1.523e-05,1.09e-06,1.55e-05,3.13656523
0.35365639,0.5222384,-5.342e-05,3.61997032,-2.72e-05,-0.00013264,0.6527524,-0.00014133,-1.698e-05,8.6e-07,1.407e-05,3.13670877
0.36144366,0.52223871,-5.448e-05,3.62509327,-2.831e-05,-0.00012924,0.66420314,-0.000129,-1.78e-05,-2e-08,1.536e-05,3.13703911
0.36923093,0.52223898,-5.54e-05,3.63030312,-2.94e-05,-0.00012256,0.67546281,-0.00013089,-1.792e-05,-6.9e-07,1.446e-05,3.137115
0.3770182,0.52223927,-5.631e-05,3.63560053,-3.045e-05,-0.00011872,0.68649548,-0.00014006,-1.829e-05,-3.2e-07,1.355e-05,3.13724615
0.38480548,0.52223939,-5.72e-05,3.64098294,-3.147e-05,-0.00011708,0.69732778,-0.00013819,-1.891e-05,-5.6e-07,1.262e-05,3.13778821
0.39259275,0.52223949,-5.804e-05,3.64644923,-3.243e-05,-0.00010308,0.70796956,-0.00011746,-1.943e-05,-1.09e-06,1.172e-05,3.13786535
0.40038002,0.52223963,-5.877e-05,3.65199723,-3.337e-05,-9.526e-05,0.71840181,-0.0001184,-2.032e-05,-1.43e-06,1.274e-05,3.13803041
0.40816729,0.52224003,-5.943e-05,3.65762754,-3.425e-05,-6.995e-05,0.72868471,-9.945e-05,-1.989e-05,-1.45e-06,1.286e-05,3.13869224
0.41595457,0.52224004,-6.005e-05,3.66333736,-3.503e-05,-7.956e-05,0.7388213,-9.2e-05,-1.895e-05,-1.06e-06,1.33e-05,3.13890551
0.42374184,0.52224042,-6.06e-05,3.66912468,-3.575e-05,-7.095e-05,0.74882795,-8.698e-05,-1.94e-05,-8.9e-07,1.392e-05,3.13946626
0.43152911,0.52224083,-6.11e-05,3.67498684,-3.637e-05,-5.434e-05,0.75854711,-6.872e-05,-2.036e-05,-1.59e-06,1.36e-05,3.14001263
0.43931638,0.52224126,-6.154e-05,3.68092498,-3.697e-05,-5.735e-05,0.76821498,-7.456e-05,-2.089e-05,-1.68e-06,1.309e-05,3.14040985
0.44710366,0.5222417,-6.192e-05,3.68693844,-3.748e-05,-4.662e-05,0.7776257,-5.949e-05,-2.035e-05,-1.64e-06,1.229e-05,3.14063486
0.45489093,0.52224186,-6.227e-05,3.69302731,-3.787e-05,-4.94e-05,0.7869661,-5.841e-05,-2.002e-05,-1.6e-06,1.215e-05,3.14019441
0.4626782,0.52224227,-6.256e-05,3.69918546,-3.823e-05,-3.63e-05,0.7961693,-4.006e-05,-1.902e-05,-1.62e-06,1.223e-05,3.14143953
0.47046547,0.52224259,-6.276e-05,3.70541622,-3.847e-05,-2.294e-05,0.80536725,-3.102e-05,-1.856e-05,-1.83e-06,1.166e-05,3.14167185
0.47825274,0.52224285,-6.293e-05,3.71171738,-3.862e-05,-3.506e-05,0.8143494,-2.324e-05,-1.792e-05,-1.93e-06,1.321e-05,3.14254584
0.48604002,0.52224287,-6.309e-05,3.71808834,-3.87e-05,-1.434e-05,0.82318158,1.25e-06,-1.921e-05,-2.32e-06,1.643e-05,3.14259833
0.49382729,0.52224255,-6.318e-05,3.72452739,-3.868e-05,-1.749e-05,0.83187377,1.192e-05,-1.696e-05,-2.1e-06,1.716e-05,3.14325454
0.50161456,0.52224267,-6.324e-05,3.73103503,-3.856e-05,-1.42e-06,0.84016934,2.826e-05,-1.411e-05,-1.37e-06,1.596e-05,3.14403552
0.50940183,0.52224283,-6.324e-05,3.73760683,-3.838e-05,1.21e-05,0.84862051,5.011e-05,-1.176e-05,-8.7e-07,1.617e-05,3.1450295
0.51718911,0.52224295,-6.318e-05,3.74424382,-3.809e-05,2.103e-05,0.85687938,5.013e-05,-1.08e-05,-1.1e-06,1.668e-05,3.14579209
0.52497638,0.52224299,-6.31e-05,3.7509434,-3.773e-05,1.789e-05,0.86515844,4.775e-05,-7.64e-06,-1.32e-06,1.691e-05,3.14663956
0.53276365,0.52224315,-6.302e-05,3.75770747,-3.731e-05,2.664e-05,0.87331959,6.061e-05,-4.91e-06,-1.37e-06,1.681e-05,3.14712816
0.54055092,0.52224339,-6.283e-05,3.76453621,-3.683e-05,3.175e-05,0.88119661,6.707e-05,-3.35e-06,-1.42e-06,1.665e-05,3.1478597
0.5483382,0.52224392,-6.261e-05,3.77142493,-3.628e-05,6.99e-06,0.88920557,8.245e-05,-2.84e-06,-1.32e-06,1.683e-05,3.14788112
